CPU :  Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz
#Date début : 20191116_235829.
#Limite de 180 secondes par test.
#
Fichier_test	NbBons	Total	Mém.(k)
test_C00.txt	5/5	0.00	3488k	
test_C01.txt	9/9	0.00	3388k	
test_C02.txt	7/7	0.00	3388k	
test_C03.txt	4/4	0.00	3536k	
test_C04.txt	10/10	0.00	3500k	
test_C05.txt	100/100	0.00	3444k	
test_C06.txt	1000/1000	0.38	3552k	
test_C07.txt	2000/2000	19.06	4416k	
test_D00.txt	5/5	0.00	3536k	
test_D01.txt	9/9	0.00	3536k	
test_D02.txt	3/3	0.00	3492k	
test_D03.txt	10/10	0.00	3544k	
test_D04.txt	100/100	0.00	3484k	
test_D05.txt	500/500	1.00	4108k	
test_D06.txt	1000/1000	20.25	5560k	
test_F00.txt	5000/5000	4.18	3620k	
test_F01.txt	10000/10000	51.97	3804k	
test_F02.txt	3306/10000	179.93	7360k	
test_F03.txt	3301/44786	179.88	7360k	
test_F04.txt	4000/4000	0.01	3500k	
test_F05.txt	32281/45461	179.79	3580k	
test_G00.txt	0/1	0.00	3412k	
test_G01.txt	2/2	0.00	3504k	
test_G02.txt	7/10	0.00	3460k	
test_G03.txt	4/4	0.00	3436k	
test_G04.txt	268/500	0.82	4056k	
test_G05.txt	2318/5000	168.04	9388k	
test_G06.txt	1965/2500	13.51	3744k	
